Strong Text    Ftarget:0.005 f=0.53 d:0.86
Layer 1    pos=27530 neg=27414
1 Fi=0.882724 Di=0.886524 Ti=-9.5 Pi=0.502129
2 Fi=0.894251 Di=0.874283 Ti=-1 Pi=0.49541
3 Fi=0.92212 Di=0.88972 Ti=-1 Pi=0.492114
4 Fi=0.931167 Di=0.905449 Ti=-1 Pi=0.494054
5 Fi=0.830743 Di=0.911333 Ti=-1 Pi=0.524184
6 Fi=0.85015 Di=0.93004 Ti=-1 Pi=0.523492
7 Fi=0.836361 Di=0.930548 Ti=-1 Pi=0.527706
8 Fi=0.859087 Di=0.952161 Ti=-1 Pi=0.526746
9 Fi=0.865361 Di=0.928078 Ti=-1 Pi=0.51854
10 Fi=0.804625 Di=0.943843 Ti=-1 Pi=0.54086
11 Fi=0.810608 Di=0.943117 Ti=-1 Pi=0.538829
12 Fi=0.735172 Di=0.943008 Ti=-1 Pi=0.562962
13 Fi=0.749836 Di=0.949146 Ti=-1 Pi=0.559697
14 Fi=0.752608 Di=0.94733 Ti=-1 Pi=0.558315
15 Fi=0.759831 Di=0.951072 Ti=-1 Pi=0.556931
16 Fi=0.755271 Di=0.956084 Ti=-1 Pi=0.559712
17 Fi=0.705224 Di=0.948529 Ti=-1 Pi=0.574594
18 Fi=0.677209 Di=0.945986 Ti=-1 Pi=0.583819
19 Fi=0.682644 Di=0.949328 Ti=-1 Pi=0.582733
20 Fi=0.68921 Di=0.953069 Ti=-1 Pi=0.581361
21 Fi=0.682644 Di=0.956266 Ti=-1 Pi=0.584503
22 Fi=0.656198 Di=0.952924 Ti=-1 Pi=0.593221
23 Fi=0.675458 Di=0.961315 Ti=-1 Pi=0.588346
24 Fi=0.656161 Di=0.955503 Ti=-1 Pi=0.593886
25 Fi=0.656526 Di=0.959353 Ti=-1 Pi=0.594722
26 Fi=0.638396 Di=0.956448 Ti=-1 Pi=0.600725
27 Fi=0.617166 Di=0.954668 Ti=-1 Pi=0.608366
28 Fi=0.614686 Di=0.952416 Ti=-1 Pi=0.608762
29 Fi=0.611476 Di=0.959499 Ti=-1 Pi=0.61177
30 Fi=0.607609 Di=0.956593 Ti=-1 Pi=0.612556
31 Fi=0.597104 Di=0.956193 Ti=-1 Pi=0.616588
32 Fi=0.589152 Di=0.952525 Ti=-1 Pi=0.618846
33 Fi=0.611512 Di=0.959535 Ti=-1 Pi=0.611765
34 Fi=0.594514 Di=0.9587 Ti=-1 Pi=0.618233
35 Fi=0.586817 Di=0.959353 Ti=-1 Pi=0.621465
36 Fi=0.586343 Di=0.95543 Ti=-1 Pi=0.62069
37 Fi=0.583497 Di=0.960007 Ti=-1 Pi=0.622958
38 Fi=0.582804 Di=0.957356 Ti=-1 Pi=0.622588
39 Fi=0.576676 Di=0.959462 Ti=-1 Pi=0.625583
40 Fi=0.576311 Di=0.959281 Ti=-1 Pi=0.625687
41 Fi=0.571168 Di=0.961315 Ti=-1 Pi=0.628279
42 Fi=0.565186 Di=0.960007 Ti=-1 Pi=0.630418
43 Fi=0.560334 Di=0.960262 Ti=-1 Pi=0.632486
44 Fi=0.571423 Di=0.962986 Ti=-1 Pi=0.62858
45 Fi=0.563763 Di=0.958009 Ti=-1 Pi=0.630519
46 Fi=0.560991 Di=0.960552 Ti=-1 Pi=0.632284
47 Fi=0.559641 Di=0.962695 Ti=-1 Pi=0.633361
48 Fi=0.558984 Di=0.962477 Ti=-1 Pi=0.633581
49 Fi=0.557197 Di=0.957428 Ti=-1 Pi=0.633104
50 Fi=0.554206 Di=0.959644 Ti=-1 Pi=0.634889
51 Fi=0.555774 Di=0.962586 Ti=-1 Pi=0.634943
52 Fi=0.553476 Di=0.962514 Ti=-1 Pi=0.635886
53 Fi=0.545634 Di=0.962114 Ti=-1 Pi=0.639088
54 Fi=0.54826 Di=0.962078 Ti=-1 Pi=0.637971
55 Fi=0.544868 Di=0.963204 Ti=-1 Pi=0.639673
56 Fi=0.538703 Di=0.961388 Ti=-1 Pi=0.641858
57 Fi=0.535128 Di=0.960516 Ti=-1 Pi=0.643179
58 Fi=0.532648 Di=0.962514 Ti=-1 Pi=0.64472
59 Fi=0.530349 Di=0.961388 Ti=-1 Pi=0.645442
60 Fi=0.535967 Di=0.962986 Ti=-1 Pi=0.643408
61 Fi=0.533085 Di=0.962804 Ti=-1 Pi=0.644601
62 Fi=0.532538 Di=0.963385 Ti=-1 Pi=0.644975
63 Fi=0.527796 Di=0.961133 Ti=-1 Pi=0.646485
Layer 2    pos=27530 neg=14534
64 Fi=0.526556 Di=0.959027 Ti=-1 Pi=0.646522
65 Fi=0.526373 Di=0.960298 Ti=-1 Pi=0.646903
66 Fi=0.527395 Di=0.960952 Ti=-1 Pi=0.646616
67 Fi=0.527431 Di=0.961606 Ti=-1 Pi=0.646756
68 Fi=0.527395 Di=0.961388 Ti=-1 Pi=0.64672
69 Fi=0.526848 Di=0.960552 Ti=-1 Pi=0.646758
70 Fi=0.52641 Di=0.961388 Ti=-1 Pi=0.647147
71 Fi=0.527832 Di=0.962078 Ti=-1 Pi=0.646694
72 Fi=0.528124 Di=0.962841 Ti=-1 Pi=0.646749
73 Fi=0.516561 Di=0.955285 Ti=-1 Pi=0.65
74 Fi=0.519552 Di=0.96077 Ti=-1 Pi=0.649989
75 Fi=0.520136 Di=0.960153 Ti=-1 Pi=0.649587
76 Fi=0.520245 Di=0.959935 Ti=-1 Pi=0.649488
77 Fi=0.521595 Di=0.961061 Ti=-1 Pi=0.649165
78 Fi=0.521485 Di=0.961242 Ti=-1 Pi=0.649255
79 Fi=0.521412 Di=0.959862 Ti=-1 Pi=0.64896
80 Fi=0.520245 Di=0.959717 Ti=-1 Pi=0.649436
81 Fi=0.520646 Di=0.962514 Ti=-1 Pi=0.649923
82 Fi=0.511381 Di=0.959644 Ti=-1 Pi=0.653321
83 Fi=0.492996 Di=0.956084 Ti=-1 Pi=0.660734
