Strong Text    Ftarget:0.15 f=0.55 d:0.87
Layer 1    pos=27530 neg=27414
1 Fi=0.872766 Di=0.874355 Ti=-1.5 Pi=0.501511
2 Fi=0.91125 Di=0.921613 Ti=-1 Pi=0.503883
3 Fi=0.929926 Di=0.911442 Ti=-1 Pi=0.496036
4 Fi=0.929853 Di=0.946967 Ti=-1 Pi=0.505615
5 Fi=0.841358 Di=0.91947 Ti=-1 Pi=0.523234
6 Fi=0.853542 Di=0.934181 Ti=-1 Pi=0.523607
7 Fi=0.857117 Di=0.935053 Ti=-1 Pi=0.522797
8 Fi=0.851244 Di=0.939557 Ti=-1 Pi=0.52571
9 Fi=0.855548 Di=0.958554 Ti=-1 Pi=0.529442
10 Fi=0.795032 Di=0.932474 Ti=-1 Pi=0.540829
11 Fi=0.808237 Di=0.940211 Ti=-1 Pi=0.53879
12 Fi=0.73561 Di=0.936942 Ti=-1 Pi=0.561227
13 Fi=0.748486 Di=0.947403 Ti=-1 Pi=0.559688
14 Fi=0.752134 Di=0.947911 Ti=-1 Pi=0.558621
15 Fi=0.759831 Di=0.95623 Ti=-1 Pi=0.558265
16 Fi=0.752681 Di=0.955285 Ti=-1 Pi=0.560352
17 Fi=0.706975 Di=0.954559 Ti=-1 Pi=0.575537
18 Fi=0.680309 Di=0.948093 Ti=-1 Pi=0.58325
19 Fi=0.680929 Di=0.952924 Ti=-1 Pi=0.584263
20 Fi=0.688152 Di=0.9579 Ti=-1 Pi=0.582965
21 Fi=0.681805 Di=0.947657 Ti=-1 Pi=0.582604
22 Fi=0.65452 Di=0.951398 Ti=-1 Pi=0.593452
23 Fi=0.672284 Di=0.953832 Ti=-1 Pi=0.587594
24 Fi=0.657657 Di=0.960044 Ti=-1 Pi=0.59448
25 Fi=0.657073 Di=0.949728 Ti=-1 Pi=0.592088
26 Fi=0.639673 Di=0.961787 Ti=-1 Pi=0.601581
27 Fi=0.618224 Di=0.956375 Ti=-1 Pi=0.608383
28 Fi=0.615124 Di=0.953033 Ti=-1 Pi=0.608747
29 Fi=0.611002 Di=0.957065 Ti=-1 Pi=0.611351
30 Fi=0.608448 Di=0.957828 Ti=-1 Pi=0.612535
31 Fi=0.59787 Di=0.955685 Ti=-1 Pi=0.616159
32 Fi=0.589443 Di=0.958554 Ti=-1 Pi=0.620217
33 Fi=0.611293 Di=0.960189 Ti=-1 Pi=0.612011
34 Fi=0.59517 Di=0.959353 Ti=-1 Pi=0.618134
35 Fi=0.588531 Di=0.959135 Ti=-1 Pi=0.620725
36 Fi=0.587474 Di=0.960516 Ti=-1 Pi=0.621486
37 Fi=0.583534 Di=0.960225 Ti=-1 Pi=0.622997
38 Fi=0.58244 Di=0.960516 Ti=-1 Pi=0.623509
39 Fi=0.576676 Di=0.959898 Ti=-1 Pi=0.62569
40 Fi=0.576093 Di=0.958554 Ti=-1 Pi=0.625599
41 Fi=0.571642 Di=0.959862 Ti=-1 Pi=0.627732
42 Fi=0.564602 Di=0.959063 Ti=-1 Pi=0.630429
43 Fi=0.560662 Di=0.960588 Ti=-1 Pi=0.632429
44 Fi=0.572043 Di=0.962187 Ti=-1 Pi=0.628133
45 Fi=0.565368 Di=0.960552 Ti=-1 Pi=0.630475
46 Fi=0.560954 Di=0.959753 Ti=-1 Pi=0.632105
47 Fi=0.559276 Di=0.960661 Ti=-1 Pi=0.633021
48 Fi=0.558547 Di=0.960988 Ti=-1 Pi=0.633404
49 Fi=0.558729 Di=0.959862 Ti=-1 Pi=0.633055
50 Fi=0.552893 Di=0.95939 Ti=-1 Pi=0.635377
51 Fi=0.554279 Di=0.961533 Ti=-1 Pi=0.635314
52 Fi=0.553659 Di=0.960371 Ti=-1 Pi=0.635293
53 Fi=0.54567 Di=0.962913 Ti=-1 Pi=0.639264
Layer 2    pos=27530 neg=15034
54 Fi=0.545634 Di=0.959317 Ti=-1 Pi=0.638416
55 Fi=0.546071 Di=0.961133 Ti=-1 Pi=0.638668
56 Fi=0.546509 Di=0.959172 Ti=-1 Pi=0.638011
57 Fi=0.545415 Di=0.958336 Ti=-1 Pi=0.638273
58 Fi=0.544722 Di=0.957792 Ti=-1 Pi=0.638435
59 Fi=0.546035 Di=0.960952 Ti=-1 Pi=0.638639
60 Fi=0.546254 Di=0.96255 Ti=-1 Pi=0.63893
61 Fi=0.545232 Di=0.96077 Ti=-1 Pi=0.638935
62 Fi=0.545524 Di=0.959027 Ti=-1 Pi=0.638393
63 Fi=0.531115 Di=0.956048 Ti=-1 Pi=0.643836
64 Fi=0.534253 Di=0.95899 Ti=-1 Pi=0.64319
65 Fi=0.535019 Di=0.960697 Ti=-1 Pi=0.643269
66 Fi=0.538812 Di=0.961497 Ti=-1 Pi=0.641837
67 Fi=0.538703 Di=0.959317 Ti=-1 Pi=0.641362
68 Fi=0.5406 Di=0.959281 Ti=-1 Pi=0.640544
69 Fi=0.516488 Di=0.955685 Ti=-1 Pi=0.650127
70 Fi=0.515394 Di=0.954777 Ti=-1 Pi=0.650393
71 Fi=0.508062 Di=0.955866 Ti=-1 Pi=0.653903
72 Fi=0.509448 Di=0.955358 Ti=-1 Pi=0.653165
73 Fi=0.510287 Di=0.955031 Ti=-1 Pi=0.652715
74 Fi=0.511892 Di=0.95692 Ti=-1 Pi=0.652451
75 Fi=0.512366 Di=0.957283 Ti=-1 Pi=0.652327
76 Fi=0.503903 Di=0.952379 Ti=-1 Pi=0.654935
77 Fi=0.499562 Di=0.951544 Ti=-1 Pi=0.656689
78 Fi=0.502152 Di=0.953832 Ti=-1 Pi=0.656065
79 Fi=0.501313 Di=0.952997 Ti=-1 Pi=0.656245
80 Fi=0.495294 Di=0.952052 Ti=-1 Pi=0.658741
81 Fi=0.491355 Di=0.951871 Ti=-1 Pi=0.660491
82 Fi=0.48322 Di=0.947766 Ti=-1 Pi=0.66326
83 Fi=0.482637 Di=0.950236 Ti=-1 Pi=0.664111
84 Fi=0.473663 Di=0.950127 Ti=-1 Pi=0.668259
85 Fi=0.470526 Di=0.94951 Ti=-1 Pi=0.669587
86 Fi=0.461042 Di=0.949292 Ti=-1 Pi=0.674026
87 Fi=0.459254 Di=0.94802 Ti=-1 Pi=0.674585
88 Fi=0.457467 Di=0.947875 Ti=-1 Pi=0.675406
89 Fi=0.455059 Di=0.945623 Ti=-1 Pi=0.676041
90 Fi=0.459838 Di=0.949364 Ti=-1 Pi=0.674617
91 Fi=0.45309 Di=0.946713 Ti=-1 Pi=0.677242
92 Fi=0.453272 Di=0.947512 Ti=-1 Pi=0.677339
93 Fi=0.45101 Di=0.947911 Ti=-1 Pi=0.678523
94 Fi=0.447545 Di=0.946023 Ti=-1 Pi=0.679769
95 Fi=0.436565 Di=0.946931 Ti=-1 Pi=0.685359
96 Fi=0.437076 Di=0.946749 Ti=-1 Pi=0.685065
97 Fi=0.436237 Di=0.945877 Ti=-1 Pi=0.685281
98 Fi=0.431714 Di=0.945405 Ti=-1 Pi=0.687417
99 Fi=0.431787 Di=0.946894 Ti=-1 Pi=0.687719
100 Fi=0.429817 Di=0.945768 Ti=-1 Pi=0.688445
101 Fi=0.427409 Di=0.945659 Ti=-1 Pi=0.689624
102 Fi=0.42657 Di=0.947003 Ti=-1 Pi=0.690348
103 Fi=0.422266 Di=0.944933 Ti=-1 Pi=0.692046
104 Fi=0.419092 Di=0.944025 Ti=-1 Pi=0.693447
105 Fi=0.4157 Di=0.945514 Ti=-1 Pi=0.695506
106 Fi=0.41435 Di=0.944388 Ti=-1 Pi=0.695942
107 Fi=0.410958 Di=0.94595 Ti=-1 Pi=0.698027
108 Fi=0.410557 Di=0.944352 Ti=-1 Pi=0.697877
109 Fi=0.409681 Di=0.944933 Ti=-1 Pi=0.698456
110 Fi=0.410301 Di=0.947185 Ti=-1 Pi=0.698639
111 Fi=0.408733 Di=0.945078 Ti=-1 Pi=0.698976
112 Fi=0.407493 Di=0.94526 Ti=-1 Pi=0.699656
113 Fi=0.407638 Di=0.946567 Ti=-1 Pi=0.699871
114 Fi=0.406763 Di=0.945478 Ti=-1 Pi=0.700081
115 Fi=0.404574 Di=0.944461 Ti=-1 Pi=0.700987
116 Fi=0.401218 Di=0.945877 Ti=-1 Pi=0.703043
117 Fi=0.399942 Di=0.945151 Ti=-1 Pi=0.703547
118 Fi=0.397972 Di=0.943879 Ti=-1 Pi=0.704296
119 Fi=0.398045 Di=0.944352 Ti=-1 Pi=0.704362
120 Fi=0.398045 Di=0.94279 Ti=-1 Pi=0.704017
121 Fi=0.394908 Di=0.943044 Ti=-1 Pi=0.705719
122 Fi=0.394032 Di=0.943625 Ti=-1 Pi=0.706308
123 Fi=0.394032 Di=0.943843 Ti=-1 Pi=0.706356
124 Fi=0.392208 Di=0.943807 Ti=-1 Pi=0.707309
125 Fi=0.392208 Di=0.943988 Ti=-1 Pi=0.707349
126 Fi=0.390348 Di=0.943625 Ti=-1 Pi=0.708253
127 Fi=0.388451 Di=0.94348 Ti=-1 Pi=0.709226
128 Fi=0.392172 Di=0.944969 Ti=-1 Pi=0.707583
129 Fi=0.387539 Di=0.94348 Ti=-1 Pi=0.709711
130 Fi=0.387685 Di=0.943661 Ti=-1 Pi=0.709673
131 Fi=0.391078 Di=0.945151 Ti=-1 Pi=0.708201
