Strong Text    Ftarget:0.005 f=0.53 d:0.81
Layer 1    pos=27530 neg=27414
1 Fi=0.916758 Di=0.91482 Ti=-1 Pi=0.500527
2 Fi=0.90348 Di=0.913149 Ti=-1 Pi=0.503717
3 Fi=0.92285 Di=0.927606 Ti=-1 Pi=0.502341
4 Fi=0.918253 Di=0.91304 Ti=-1 Pi=0.499632
5 Fi=0.829941 Di=0.919215 Ti=-1 Pi=0.526572
6 Fi=0.843219 Di=0.917218 Ti=-1 Pi=0.522071
7 Fi=0.844058 Di=0.935707 Ti=-1 Pi=0.5268
8 Fi=0.843109 Di=0.922884 Ti=-1 Pi=0.52364
9 Fi=0.858394 Di=0.945005 Ti=-1 Pi=0.525067
10 Fi=0.799737 Di=0.947221 Ti=-1 Pi=0.54326
11 Fi=0.800175 Di=0.939303 Ti=-1 Pi=0.54104
12 Fi=0.736303 Di=0.937886 Ti=-1 Pi=0.561243
13 Fi=0.745823 Di=0.938031 Ti=-1 Pi=0.558115
14 Fi=0.751149 Di=0.943698 Ti=-1 Pi=0.557846
15 Fi=0.764682 Di=0.953905 Ti=-1 Pi=0.556094
16 Fi=0.750748 Di=0.944279 Ti=-1 Pi=0.55813
17 Fi=0.707996 Di=0.960806 Ti=-1 Pi=0.576777
18 Fi=0.684614 Di=0.953614 Ti=-1 Pi=0.583128
19 Fi=0.683994 Di=0.958518 Ti=-1 Pi=0.584594
20 Fi=0.684723 Di=0.95158 Ti=-1 Pi=0.58257
21 Fi=0.685672 Di=0.95761 Ti=-1 Pi=0.583769
22 Fi=0.656672 Di=0.953142 Ti=-1 Pi=0.593102
23 Fi=0.676224 Di=0.960952 Ti=-1 Pi=0.58798
24 Fi=0.656635 Di=0.953033 Ti=-1 Pi=0.593087
25 Fi=0.656745 Di=0.9583 Ti=-1 Pi=0.594377
26 Fi=0.636536 Di=0.952379 Ti=-1 Pi=0.600403
27 Fi=0.617677 Di=0.952016 Ti=-1 Pi=0.607505
28 Fi=0.615233 Di=0.952815 Ti=-1 Pi=0.60865
29 Fi=0.611512 Di=0.956157 Ti=-1 Pi=0.610927
30 Fi=0.60739 Di=0.953687 Ti=-1 Pi=0.611919
31 Fi=0.599657 Di=0.958155 Ti=-1 Pi=0.616064
32 Fi=0.589772 Di=0.956302 Ti=-1 Pi=0.619532
33 Fi=0.61206 Di=0.95939 Ti=-1 Pi=0.611516
34 Fi=0.59455 Di=0.956629 Ti=-1 Pi=0.617708
35 Fi=0.587364 Di=0.954995 Ti=-1 Pi=0.620173
36 Fi=0.587656 Di=0.958554 Ti=-1 Pi=0.620932
37 Fi=0.583352 Di=0.957719 Ti=-1 Pi=0.622456
38 Fi=0.581236 Di=0.958518 Ti=-1 Pi=0.623506
39 Fi=0.577041 Di=0.95652 Ti=-1 Pi=0.624715
40 Fi=0.576238 Di=0.957719 Ti=-1 Pi=0.625335
41 Fi=0.572518 Di=0.958918 Ti=-1 Pi=0.627144
42 Fi=0.565186 Di=0.961533 Ti=-1 Pi=0.630788
43 Fi=0.560225 Di=0.95761 Ti=-1 Pi=0.631888
44 Fi=0.571204 Di=0.958264 Ti=-1 Pi=0.627521
45 Fi=0.564675 Di=0.959717 Ti=-1 Pi=0.630558
46 Fi=0.561064 Di=0.959644 Ti=-1 Pi=0.632033
47 Fi=0.559896 Di=0.958954 Ti=-1 Pi=0.63235
48 Fi=0.558912 Di=0.962332 Ti=-1 Pi=0.633576
