Strong Text    Ftarget:0.15 f=0.55 d:0.83
Layer 1    pos=27530 neg=27414
1 Fi=0.894178 Di=0.895242 Ti=-1 Pi=0.501353
2 Fi=0.908222 Di=0.91373 Ti=-1 Pi=0.502567
3 Fi=0.907237 Di=0.89822 Ti=-1 Pi=0.498558
4 Fi=0.934595 Di=0.901453 Ti=-1 Pi=0.49203
5 Fi=0.840665 Di=0.913222 Ti=-1 Pi=0.521738
6 Fi=0.845407 Di=0.924337 Ti=-1 Pi=0.523353
7 Fi=0.845407 Di=0.925717 Ti=-1 Pi=0.523725
8 Fi=0.848654 Di=0.919179 Ti=-1 Pi=0.521001
9 Fi=0.858321 Di=0.931093 Ti=-1 Pi=0.521388
10 Fi=0.792077 Di=0.936905 Ti=-1 Pi=0.542931
11 Fi=0.805647 Di=0.938068 Ti=-1 Pi=0.53902
12 Fi=0.728387 Di=0.927388 Ti=-1 Pi=0.561133
13 Fi=0.743197 Di=0.943226 Ti=-1 Pi=0.560346
14 Fi=0.749909 Di=0.932365 Ti=-1 Pi=0.555272
15 Fi=0.760123 Di=0.94911 Ti=-1 Pi=0.556327
16 Fi=0.751769 Di=0.9421 Ti=-1 Pi=0.557224
17 Fi=0.699314 Di=0.939339 Ti=-1 Pi=0.574271
18 Fi=0.683118 Di=0.948057 Ti=-1 Pi=0.582238
19 Fi=0.679324 Di=0.948493 Ti=-1 Pi=0.583704
20 Fi=0.685307 Di=0.951398 Ti=-1 Pi=0.582316
21 Fi=0.683228 Di=0.956193 Ti=-1 Pi=0.584277
22 Fi=0.65452 Di=0.945405 Ti=-1 Pi=0.591926
23 Fi=0.674692 Di=0.961533 Ti=-1 Pi=0.588676
24 Fi=0.65824 Di=0.958918 Ti=-1 Pi=0.593983
25 Fi=0.654593 Di=0.956484 Ti=-1 Pi=0.594711
26 Fi=0.638396 Di=0.957537 Ti=-1 Pi=0.600999
27 Fi=0.613665 Di=0.945514 Ti=-1 Pi=0.607425
28 Fi=0.615963 Di=0.956411 Ti=-1 Pi=0.609265
29 Fi=0.611768 Di=0.955285 Ti=-1 Pi=0.610611
30 Fi=0.604509 Di=0.954922 Ti=-1 Pi=0.613355
31 Fi=0.599146 Di=0.95198 Ti=-1 Pi=0.614735
32 Fi=0.589954 Di=0.956448 Ti=-1 Pi=0.619495
33 Fi=0.611221 Di=0.960189 Ti=-1 Pi=0.61204
34 Fi=0.594696 Di=0.955757 Ti=-1 Pi=0.617435
35 Fi=0.588714 Di=0.954958 Ti=-1 Pi=0.619623
36 Fi=0.58689 Di=0.953723 Ti=-1 Pi=0.62005
37 Fi=0.584045 Di=0.957283 Ti=-1 Pi=0.62207
38 Fi=0.582476 Di=0.958482 Ti=-1 Pi=0.622996
39 Fi=0.57529 Di=0.953578 Ti=-1 Pi=0.624706
40 Fi=0.577077 Di=0.957537 Ti=-1 Pi=0.62495
41 Fi=0.570876 Di=0.955721 Ti=-1 Pi=0.627035
42 Fi=0.565295 Di=0.959099 Ti=-1 Pi=0.630152
43 Fi=0.558729 Di=0.956266 Ti=-1 Pi=0.632183
44 Fi=0.571387 Di=0.956774 Ti=-1 Pi=0.627083
45 Fi=0.564857 Di=0.959935 Ti=-1 Pi=0.630535
46 Fi=0.561976 Di=0.960334 Ti=-1 Pi=0.631823
47 Fi=0.558474 Di=0.956448 Ti=-1 Pi=0.632334
48 Fi=0.55851 Di=0.957864 Ti=-1 Pi=0.632662
49 Fi=0.558802 Di=0.963458 Ti=-1 Pi=0.633893
50 Fi=0.551725 Di=0.954631 Ti=-1 Pi=0.634715
51 Fi=0.554133 Di=0.960443 Ti=-1 Pi=0.635112
52 Fi=0.553805 Di=0.959353 Ti=-1 Pi=0.634987
53 Fi=0.54578 Di=0.961424 Ti=-1 Pi=0.638861
Layer 2    pos=27530 neg=15034
54 Fi=0.545159 Di=0.958409 Ti=-1 Pi=0.638398
55 Fi=0.54567 Di=0.957138 Ti=-1 Pi=0.637876
56 Fi=0.546801 Di=0.960661 Ti=-1 Pi=0.638246
57 Fi=0.545415 Di=0.960988 Ti=-1 Pi=0.63891
58 Fi=0.545852 Di=0.962114 Ti=-1 Pi=0.638995
59 Fi=0.546874 Di=0.959353 Ti=-1 Pi=0.637901
60 Fi=0.546217 Di=0.958227 Ti=-1 Pi=0.637907
61 Fi=0.54629 Di=0.961497 Ti=-1 Pi=0.638662
62 Fi=0.54578 Di=0.961024 Ti=-1 Pi=0.638765
63 Fi=0.530422 Di=0.955503 Ti=-1 Pi=0.644004
64 Fi=0.533997 Di=0.957574 Ti=-1 Pi=0.64296
65 Fi=0.535128 Di=0.959135 Ti=-1 Pi=0.642848
66 Fi=0.538666 Di=0.958082 Ti=-1 Pi=0.641081
67 Fi=0.539432 Di=0.958591 Ti=-1 Pi=0.640876
68 Fi=0.540162 Di=0.960443 Ti=-1 Pi=0.641009
69 Fi=0.516743 Di=0.953614 Ti=-1 Pi=0.649521
70 Fi=0.514555 Di=0.950708 Ti=-1 Pi=0.649793
71 Fi=0.508974 Di=0.952888 Ti=-1 Pi=0.65279
72 Fi=0.509958 Di=0.955285 Ti=-1 Pi=0.652921
73 Fi=0.509776 Di=0.95405 Ti=-1 Pi=0.652709
74 Fi=0.511308 Di=0.955467 Ti=-1 Pi=0.652365
75 Fi=0.511892 Di=0.955249 Ti=-1 Pi=0.652054
76 Fi=0.504633 Di=0.952343 Ti=-1 Pi=0.654599
77 Fi=0.499854 Di=0.950381 Ti=-1 Pi=0.656282
78 Fi=0.503174 Di=0.953033 Ti=-1 Pi=0.655417
79 Fi=0.500948 Di=0.951907 Ti=-1 Pi=0.656151
80 Fi=0.495221 Di=0.950381 Ti=-1 Pi=0.658379
81 Fi=0.491537 Di=0.951217 Ti=-1 Pi=0.660254
82 Fi=0.482381 Di=0.948238 Ti=-1 Pi=0.66376
83 Fi=0.482381 Di=0.951217 Ti=-1 Pi=0.664459
84 Fi=0.472861 Di=0.950854 Ti=-1 Pi=0.668804
85 Fi=0.470417 Di=0.94911 Ti=-1 Pi=0.669545
86 Fi=0.461297 Di=0.948565 Ti=-1 Pi=0.673736
87 Fi=0.459802 Di=0.948166 Ti=-1 Pi=0.674357
88 Fi=0.456628 Di=0.94733 Ti=-1 Pi=0.675683
89 Fi=0.455023 Di=0.946386 Ti=-1 Pi=0.676235
90 Fi=0.458817 Di=0.948347 Ti=-1 Pi=0.674869
91 Fi=0.45309 Di=0.946567 Ti=-1 Pi=0.677209
92 Fi=0.452579 Di=0.946458 Ti=-1 Pi=0.67743
93 Fi=0.451375 Di=0.94773 Ti=-1 Pi=0.678305
94 Fi=0.448238 Di=0.947403 Ti=-1 Pi=0.67975
95 Fi=0.436529 Di=0.944824 Ti=-1 Pi=0.684897
96 Fi=0.436748 Di=0.94595 Ti=-1 Pi=0.685045
97 Fi=0.436456 Di=0.944824 Ti=-1 Pi=0.684933
98 Fi=0.431568 Di=0.944969 Ti=-1 Pi=0.687391
99 Fi=0.431458 Di=0.945332 Ti=-1 Pi=0.687528
100 Fi=0.429817 Di=0.945768 Ti=-1 Pi=0.688445
101 Fi=0.427409 Di=0.946749 Ti=-1 Pi=0.689871
102 Fi=0.426315 Di=0.944715 Ti=-1 Pi=0.689959
103 Fi=0.422084 Di=0.945841 Ti=-1 Pi=0.692342
