Strong Text    Ftarget:0.005 f=0.49 d:0.81
Layer 1    pos=27530 neg=27414
1 Fi=0.899139 Di=0.902761 Ti=-1 Pi=0.502061
2 Fi=0.926972 Di=0.914493 Ti=-1 Pi=0.497667
3 Fi=0.902495 Di=0.916709 Ti=-1 Pi=0.504962
4 Fi=0.921828 Di=0.91907 Ti=-1 Pi=0.500306
5 Fi=0.83461 Di=0.923611 Ti=-1 Pi=0.526363
6 Fi=0.839352 Di=0.934798 Ti=-1 Pi=0.527952
7 Fi=0.838404 Di=0.921359 Ti=-1 Pi=0.524623
8 Fi=0.85708 Di=0.923829 Ti=-1 Pi=0.519794
9 Fi=0.854928 Di=0.935089 Ti=-1 Pi=0.523444
10 Fi=0.799008 Di=0.940538 Ti=-1 Pi=0.541729
11 Fi=0.814657 Di=0.940465 Ti=-1 Pi=0.53689
12 Fi=0.724703 Di=0.930403 Ti=-1 Pi=0.56318
13 Fi=0.749471 Di=0.946495 Ti=-1 Pi=0.559127
14 Fi=0.751879 Di=0.942862 Ti=-1 Pi=0.557388
15 Fi=0.76118 Di=0.958772 Ti=-1 Pi=0.558483
16 Fi=0.755089 Di=0.955975 Ti=-1 Pi=0.559743
17 Fi=0.702415 Di=0.941082 Ti=-1 Pi=0.573643
18 Fi=0.683118 Di=0.949982 Ti=-1 Pi=0.582732
19 Fi=0.678267 Di=0.945005 Ti=-1 Pi=0.583188
20 Fi=0.686912 Di=0.955648 Ti=-1 Pi=0.582831
21 Fi=0.681039 Di=0.94279 Ti=-1 Pi=0.581625
22 Fi=0.656854 Di=0.947766 Ti=-1 Pi=0.591669
23 Fi=0.671847 Di=0.950527 Ti=-1 Pi=0.586911
24 Fi=0.658423 Di=0.961097 Ti=-1 Pi=0.594464
25 Fi=0.654957 Di=0.954341 Ti=-1 Pi=0.594035
26 Fi=0.638506 Di=0.955939 Ti=-1 Pi=0.600557
27 Fi=0.617932 Di=0.952052 Ti=-1 Pi=0.607416
28 Fi=0.614978 Di=0.955249 Ti=-1 Pi=0.609357
29 Fi=0.611585 Di=0.950018 Ti=-1 Pi=0.609366
