Strong Text    Ftarget:0.15 f=0.55 d:0.9
Layer 1    pos=27530 neg=27414
1 Fi=0.866054 Di=0.923429 Ti=-1.5 Pi=0.517086
2 Fi=0.94014 Di=0.908681 Ti=-2 Pi=0.492548
3 Fi=0.898592 Di=0.901889 Ti=-2.5 Pi=0.501971
4 Fi=0.94138 Di=0.941518 Ti=-1 Pi=0.501092
5 Fi=0.818742 Di=0.940283 Ti=-1 Pi=0.535598
6 Fi=0.842635 Di=0.920959 Ti=-1 Pi=0.523259
7 Fi=0.84103 Di=0.922412 Ti=-1 Pi=0.524128
8 Fi=0.850478 Di=0.935416 Ti=-1 Pi=0.524833
9 Fi=0.84869 Di=0.942281 Ti=-1 Pi=0.527181
10 Fi=0.798242 Di=0.932437 Ti=-1 Pi=0.539819
11 Fi=0.804443 Di=0.939593 Ti=-1 Pi=0.539795
12 Fi=0.735646 Di=0.941954 Ti=-1 Pi=0.562528
13 Fi=0.750091 Di=0.942681 Ti=-1 Pi=0.557928
14 Fi=0.752462 Di=0.947475 Ti=-1 Pi=0.5584
15 Fi=0.760451 Di=0.951725 Ti=-1 Pi=0.556899
16 Fi=0.752608 Di=0.946676 Ti=-1 Pi=0.558145
17 Fi=0.701284 Di=0.950345 Ti=-1 Pi=0.57643
18 Fi=0.68465 Di=0.952198 Ti=-1 Pi=0.582753
19 Fi=0.682352 Di=0.954413 Ti=-1 Pi=0.584136
20 Fi=0.685088 Di=0.949292 Ti=-1 Pi=0.581855
21 Fi=0.683009 Di=0.947185 Ti=-1 Pi=0.582054
22 Fi=0.654556 Di=0.947076 Ti=-1 Pi=0.592339
23 Fi=0.674655 Di=0.957392 Ti=-1 Pi=0.587644
24 Fi=0.660502 Di=0.958881 Ti=-1 Pi=0.593147
25 Fi=0.653936 Di=0.958409 Ti=-1 Pi=0.595437
26 Fi=0.638396 Di=0.955358 Ti=-1 Pi=0.600452
27 Fi=0.616692 Di=0.955903 Ti=-1 Pi=0.608857
28 Fi=0.615598 Di=0.954849 Ti=-1 Pi=0.609017
29 Fi=0.612169 Di=0.954304 Ti=-1 Pi=0.61021
30 Fi=0.607244 Di=0.958736 Ti=-1 Pi=0.613229
31 Fi=0.598599 Di=0.959862 Ti=-1 Pi=0.616902
32 Fi=0.590866 Di=0.954486 Ti=-1 Pi=0.618646
33 Fi=0.609652 Di=0.956847 Ti=-1 Pi=0.611822
34 Fi=0.593821 Di=0.956266 Ti=-1 Pi=0.617909
35 Fi=0.587109 Di=0.955576 Ti=-1 Pi=0.620419
36 Fi=0.586999 Di=0.958009 Ti=-1 Pi=0.621062
37 Fi=0.583607 Di=0.960697 Ti=-1 Pi=0.623083
38 Fi=0.582622 Di=0.957828 Ti=-1 Pi=0.622777
39 Fi=0.575801 Di=0.957174 Ti=-1 Pi=0.62538
40 Fi=0.576238 Di=0.957138 Ti=-1 Pi=0.625193
41 Fi=0.570949 Di=0.959826 Ti=-1 Pi=0.628006
42 Fi=0.563945 Di=0.957392 Ti=-1 Pi=0.630294
43 Fi=0.559969 Di=0.957283 Ti=-1 Pi=0.631915
44 Fi=0.571204 Di=0.959971 Ti=-1 Pi=0.627937
45 Fi=0.564566 Di=0.960697 Ti=-1 Pi=0.630841
46 Fi=0.561465 Di=0.960734 Ti=-1 Pi=0.632131
47 Fi=0.559057 Di=0.959244 Ti=-1 Pi=0.632769
48 Fi=0.559203 Di=0.958845 Ti=-1 Pi=0.632612
49 Fi=0.558875 Di=0.959789 Ti=-1 Pi=0.632977
50 Fi=0.554388 Di=0.960734 Ti=-1 Pi=0.635076
51 Fi=0.554717 Di=0.959499 Ti=-1 Pi=0.63464
52 Fi=0.552382 Di=0.956375 Ti=-1 Pi=0.634862
